"g_id","g_name","g_time","description","style","avg_rating"
"11","Left 4 Dead 2","2024-07-11","《Left 4 Dead 2》是一款由Valve开发的合作射击游戏。玩家将与最多三名其他玩家组成小队，共同抵抗由感染者组成的僵尸大军，通过各种任务和场景，争取生存。","僵尸，合作，第一人称射击，多人，射击，动作","0"
"8","城市天际线","2024-06-25","《城市：天际线》（Cities: Skylines）是一款由Colossal Order开发的城市建设与管理模拟游戏。在这个游戏中，玩家将扮演市长，设计、建造和管理自己的城市，解决市民的需求和挑战。","城市营造，模拟，建造，管理，策略，沙盒","0"
"13","Train Sim World 2","2024-07-17","《Train Sim World 2》是一款由Dovetail Games开发的列车模拟游戏。玩家将扮演火车司机，在真实和详细的铁路环境中体验驾驶多种类型的火车，从地铁到高速列车。","模拟，火车，驾驶，单人，拟真，交通运输","0"
"29","World War Z","2024-06-30","《World War Z》是一款由Saber Interactive开发的合作多人射击游戏，基于同名电影和小说作品。玩家将与队友合作，在全球各地的环境中对抗成群的僵尸威胁，生存和解决各种危机。","僵尸，多人，在线合作，动作，合作，单人","0"
"10","THE LONG DARK","2024-07-17","《The Long Dark》是一款由Hinterland Studio开发的生存冒险游戏。游戏设定在北美荒野的冬季环境中，玩家将在严酷的自然条件下尝试生存，并探索一个寒冷而充满挑战的世界。","生存，开放世界，探索，氛围","4"
"23","Grand Theft Auto V","2024-07-08","《Grand Theft Auto V》是一款由Rockstar North开发的开放世界动作冒险游戏。玩家将在虚构的洛圣都（Los Santos）探索和生存，参与各种犯罪活动和挑战。","开放世界，动作，多人，成人，犯罪，汽车模拟","10"
"17","黑神话：悟空","2024-08-20","《黑神话：悟空》是由游戏科学公司制作的以中国神话为背景的动作角色扮演游戏，将于2024年8月20日发售，简体中文PC标准版售价268人民币,数字豪华版售价328人民币。
\n游戏中，玩家将扮演一位“天命人”，为了探寻昔日传说的真相，踏上一条充满危险与惊奇的西游之路。
\n2024年6月10日，《黑神话：悟空》实体版正式开启全款预售。","神话，动作，角色扮演，类魂系列","6"
"25","Untitled Goose Game","2024-07-15","《Untitled Goose Game》是一款由House House开发的沙盒模拟游戏，玩家将扮演一只顽皮的鹅，通过各种恶作剧和互动来打扰小镇上的居民。","欢乐，恶人主角，多人，合作，可爱，喜剧","3"
"14","Train Sim World 3","2024-07-07","《Train Sim World 3》是一款由Dovetail Games开发的列车模拟游戏。玩家将扮演火车司机，在真实和详细的铁路环境中体验驾驶多种类型的火车，从地铁到高速列车。","模拟，火车，驾驶，单人，拟真，交通运输","8"
"3","幻兽帕鲁","2024-07-02","在广阔的世界中收集神奇的生物“帕鲁”，派他们进行战斗、建造、做农活，工业生产等，这是一款支持多人游戏模式的全新开放世界生存制作游戏。\n\n","开放世界，合作，多人，生存，生物收集，制作","0"
"4","穿越火线","2024-07-01","《穿越火线》（CrossFire）是一款由Smilegate Entertainment开发的竞技射击游戏。作为全球最受欢迎的免费在线射击游戏之一，玩家在这个战斗激烈的虚拟战场中展开对抗。","第一人称射击，多人，策略，竞技，角色扮演，合作","10"
"5","艾尔登法环","2024-07-17","《艾尔登法环》（Elden Ring）是一款由FromSoftware开发，由Bandai Namco Entertainment发行的动作角色扮演游戏。游戏由著名的游戏制作人宫崎英高和作家乔治·R·R·马丁合作创作，带领玩家进入一个神秘而危险的奇幻世界。","类魂系列，黑暗奇幻，开放世界，角色扮演，困难，动作，单人","0"
"18","Getting Over It with Bennett Foddy","2024-07-03","《Getting Over It with Bennett Foddy》是一款由Bennett Foddy开发的极具挑战性的物理学游戏。玩家将扮演一个半身人，使用锤子爬过一系列障碍物，挑战自己的耐心和技能。","心理恐怖，困难，单人，物理，哲理，恐怖","8"
"1","无畏契约","2024-07-09","《无畏契约》（VALORANT）是由拳头游戏研发，中国大陆地区由腾讯游戏代理发行的一款以英雄为核心的5V5第一人称战术射击PC游戏。 游戏注重技巧和创造性玩法，拥有极强的竞技性与策略性，战斗节奏激烈，爽快感强，还有丰富多样的玩法模式。","动作，角色扮演，第一人称射击，合作，多人","8.7"
"15","Inside the Backrooms","2024-07-01","《Inside the Backrooms》是一款基于网络迷因和虚构概念的探险游戏。玩家将探索无限且神秘的背景环境，穿过看似无尽的类似办公室的空间，寻找出路并揭开背后的真相。","恐怖，多人，生存，解密，生存恐怖，心理恐怖，合作","0"
"9","Anno 1800","2024-06-28","《纪元1800》（Anno 1800）是一款由Blue Byte开发的城市建设与管理模拟游戏。游戏背景设定在工业革命时期的欧洲，玩家将扮演城市的建造者和管理者，建设繁荣的城市，探索新的科技和贸易机会。","城市营造，策略，模拟，经济，多人，资源管理","8"
"30","The Forest","2024-06-26","《森林》是由加拿大独立游戏开发商Endnight Games发行的恐怖冒险类游戏。玩家将扮演因空难迷失在森林里的主角，在诡异生物的追杀下努力存活下去。游戏中玩家可以制作各类武器道具，以此提高自己的生存机会。","开放世界生存制作，恐怖，生存，开放世界，制作","0"
"24","It Takes Two","2024-07-10","It takes two（双人成行），是Hazelight Studios开发的动作冒险游戏，在游戏中两位玩家分别操作泥土制作的小土偶与木头制作的小木偶，在这两小人视角下结识各种奇特和可爱的角色。团结一致，一起开启一场奇幻的破镜重圆之旅！在克服挑战的相处中发现真挚情感。帮助 Cody 和 May 学习如何克服他们之间的分歧。","合作，多人，分屏，解谜，在线合作，本地合作","0"
"20","Dead By Daylight","2024-07-05","《Dead by Daylight》是一款由Behaviour Interactive开发的多人恐怖生存游戏。玩家将分为幸存者和杀手两个阵营，在各自的角色中展开紧张的对抗和生存竞技。","动作，血腥，暴力，恐怖","0"
"16","Terraria","2024-07-02","《Terraria》是一款由Re-Logic开发的沙盒冒险游戏。玩家将在像素风格的2D世界中探索、挖掘、建造和战斗，体验无限的冒险和创造乐趣。","开放世界生存制作，沙盒，生存，2D，多人，冒险","0"
"22","Rust","2024-07-18","《Rust》是一款由Facepunch Studios开发的多人生存游戏。玩家将在一个开放世界环境中，通过收集资源、建造基地和与其他玩家互动，体验生存、合作和竞争的全新挑战。","生存，制作，多人，开放世界，开放世界生存制作","0"
"21","APEX","2024-07-02","《Apex Legends》是一款由Respawn Entertainment开发的免费大逃杀射击游戏。玩家将在一个科幻世界中，与其他玩家组队，选择不同的英雄角色，展开激烈的战斗，争夺最后的生存和胜利。","大逃杀，多人，第一人称射击，射击","5"
"28","Escape the Backrooms","2024-07-06","《Escape the Backrooms》 是一款1-4人合作的恐怖探索游戏。 穿越阴森恐怖的密室关卡，同时避开实体和其他危险，试图逃脱。 ","恐怖，多人，在线合作，心理恐怖，合作，探索","0"
"27","Resident Evil 4","2024-07-13","《Resident Evil 4》是一款由Capcom开发的经典恐怖生存动作游戏。玩家将扮演特工莱昂·S·肯尼迪（Leon S. Kennedy），在一个废弃的欧洲村庄中与各种怪物和敌人作战，揭露背后的恐怖阴谋。","恐怖，动作，生存恐怖，第三人称射击，僵尸，3D","0"
"26","深海迷航","2024-07-14","《深海迷航》是一款由Unknown Worlds Entertainment开发的深海主题沙盒生存建造游戏。在未来世界，一次飞船失事后，玩家所扮演的宇航员掉落在异星球的海洋里，玩家要在想办法生存下去的同时，尝试探索飞船失事的原因。","开放世界生存制作，生存，恐怖，水底，开放世界","9"
"12","Riders Republic","2024-07-17","《Riders Republic》是一款由Ubisoft Annecy开发的极限运动游戏。玩家将在广阔的户外环境中体验多种极限运动，包括滑雪、滑板、山地自行车和翼装飞行等，挑战极限和展示技能。","竞速，开放世界，大型多人在线，体育，多人","9"
"6","只狼","2024-07-17","《只狼：影逝二度》（Sekiro: Shadows Die Twice）是一款由FromSoftware开发的动作冒险游戏。游戏设定在战国时代的日本，玩家将扮演一名被背叛的忍者，追寻复仇的旅程。","类魂系列，困难，动作，单人，忍者，潜行","0"
"2","英雄联盟","2024-07-04","《英雄联盟》（League of Legends）是一款由Riot Games开发的多人在线战斗竞技游戏（MOBA）。在这个充满策略和团队合作的世界中，玩家将操控各种强大的英雄角色，与对手展开激烈的战斗。","MOBA，合作，策略，竞技，角色扮演","6.5"